A,,1229900
AA,2.71,2807900
AAGPRT,,
AAI,,419900
AAP,,660500
AAR,16.32,5300
ABC,0.18,1337100
ABF,1.06,336400
ABG,,18300
ABI,1.00,731200
ABJ,6.90,7300
ABK,0.71,488400
ABM,2.44,89800
ABNPRA,,
ABNPRB,,
ABS,3.32,1721300
ABT,2.40,9051500
ABWPRA,,
AC,5.63,128300
ACA,6.96,3400
ACF,,15476300
ACG,11.73,616000
ACI,1.09,86300
ACO,2.04,21900
ACP,,5900
ACPPR,,
ACR,,900
ACS,,1681100
ACV,0.70,248100
ACVA,,
AD,,74800
ADC,10.82,15400
ADF,9.31,21000
ADI,,3525000
ADM,1.90,1223400
ADP,1.32,2590600
ADS,,55700
ADX,0.73,71500
AEC,10.64,20100
AECPRA,,
AEE,6.15,797200
AEEPRE,,
AEF,7.97,33200
AEP,8.85,2348300
AEPPRA,,
AES,,2600600
AESPRC,,
AET,0.09,1134400
AF,2.92,292800
AFB,7.15,27400
AFC,1.62,727900
AFG,2.17,92500
AFGPRT,,
AFK,6.51,21000
AFL,0.75,937900
AG,0.22,2046900
AGCPRA,,
AGCPRB,,
AGE,1.99,641200
AGI,,409300
AGL,1.90,43600
AGM,,123300
AGN,0.59,1455000
AGP,,485000
AGRA,,
AGRB,,
AGY,,123300
AH,,69900
AHC,2.11,496600
AHG,,348000
AHR,12.68,147900
AHS,,179300
AIG,0.30,5078400
AIN,0.96,98100
AIQ,,98900
AIR,1.83,36600
AIT,2.74,43600
AIV,8.72,287900
AIVPRC,,
AIVPRD,,
AIVPRG,,
AIVPRH,,
AIVPRP,,
AIVPRQ,,
AIVPRR,,
AIZ,30.27,6100
AJB,7.17,9600
AJC,7.30,7200
AJG,2.14,301900
AKB,6.97,4000
AKP,6.78,31300
AKR,6.93,10200
AKS,3.13,481300
ALB,1.92,123200
ALD,9.78,402300
ALE,5.13,217700
ALEPR,,
ALG,1.97,3200
ALK,,133600
ALL,2.24,2159600
ALM,5.56,5700
ALN,,732500
ALNPRD,,
ALO,1.06,343100
ALPPRN,,
ALPPRO,,
ALX,,300
AM,2.69,289000
AMB,6.28,1078100
AMBPRA,,
AMD,,23208000
AME,0.61,151100
AMF,11.67,44400
AMG,,237600
AMGPRI,,
AMH,1.34,130100
AML,8.98,102200
AMN,2.14,3800
AMO,10.21,8500
AMR,,2577900
AMT,,1914900
AMU,7.82,14900
AMZ,,43500
AN,,883200
ANF,,1920200
ANJPR,,
ANL,7.09,3300
ANN,,1324200
ANS,,1800
ANT,,90500
ANUPR,,
AOC,2.92,1015800
AOF,4.11,16500
AOL,,18729200
AOPRA,,
AOR,,162700
AOS,2.14,100000
AOT,,427200
AP,3.04,7500
APA,0.65,6651400
APB,,5300
APC,0.86,1793200
APD,1.93,632300
APF,0.10,137000
APH,,260300
APN,,66200
APS,,253700
APU,9.21,35100
APX,7.18,17300
ARB,,98100
ARE,4.90,31600
AREPRA,,
AREPRB,,
ARG,,123400
ARI,9.22,75500
ARJ,4.02,31300
ARK,12.36,127100
ARL,,300
ARM,2.32,377100
ARO,,189300
ARW,,698000
ASD,,559500
ASF,,290400
ASG,10.02,33600
ASH,3.96,247900
ASN,7.63,395700
ASNPRA,,
ASNPRD,,
ASO,4.43,1563700
ASP,7.18,100
ASV,,7600
AT,2.71,900400
ATG,4.53,143300
ATGPR,,
ATH,,1572700
ATI,3.60,214400
ATK,,254300
ATL,,0
ATN,0.61,168400
ATO,5.29,136300
ATPR,,
ATR,0.79,27000
ATU,,95600
ATV,4.01,125100
ATW,,79300
AV,,809300
AVA,4.15,142200
AVAPRA,,
AVB,7.35,174600
AVBPRD,,
AVBPRH,,
AVL,,37900
AVO,,147600
AVO,,147600
AVP,1.53,890600
AVT,2.61,518400
AVU,20.76,1800
AVX,1.47,437200
AVY,2.33,484600
AW,,308800
AWA,,148900
AWE,,8548800
AWF,9.72,163000
AWG,8.94,6200
AWR,3.76,20200
AXE,,95100
AXL,,534400
AXP,0.86,2932700
AXPPRA,,
AXR,,700
AYE,17.46,2107100
AYI,4.29,65200
AYN,6.88,2500
AYZ,7.43,43600
AZO,,1618000
AZR,,196200
AZZ,,1700
B,3.81,33800
BA,2.03,2034900
BAC,3.61,5084500
BACPRV,,
BACPRW,,
BACPRX,,
BACPRY,,
BAF,6.00,1300
BAT,5.94,16900
BAX,1.90,2807300
BAXPR,,
BBA,,168600
BBCPRA,,
BBF,6.48,900
BBI,0.54,1218100
BBK,7.28,16100
BBR,3.53,3400
BBT,3.11,844900
BBX,1.27,129300
BBY,,3679300
BC,2.47,280100
BCC,2.15,344500
BCF,0.11,40100
BCK,6.21,5200
BCR,1.56,183200
BDF,6.72,400
BDG,3.26,51900
BDGA,,
BDJ,,0
BDK,1.20,2461500
BDN,8.52,86300
BDX,1.33,1052000
BE,,854700
BEC,1.23,209800
BED,7.83,28800
BEN,0.84,543900
BEP,8.22,500
BER,0.91,226600
BEV,,833000
BEZ,2.57,65700
BFA,,
BFB,,
BFC,4.74,6200
BFK,7.27,70600
BFS,6.80,759200
BFT,,451000
BFZ,6.91,16200
BG,1.48,378200
BGC,5.49,82000
BGEPRA,,
BGG,2.96,132400
BGIPRT,,
BGP,,199800
BGS,,0
BHD,10.21,23300
BHE,,512200
BHI,1.47,1675900
BHK,8.51,62400
BHS,,501800
BHY,11.64,20400
BID,,90500
BIE,6.44,0
BIF,7.21,35500
BJ,,972300
