A,,1886800
AA,2.72,3779300
AAGPRT,,
AAI,,300200
AAP,,303100
AAR,37.50,475200
ABC,0.19,1259700
ABF,0.81,2927900
ABG,,33600
ABI,1.04,479300
ABJ,6.98,2500
ABK,0.74,643200
ABM,2.80,76600
ABNPRA,,
ABNPRB,,
ABS,3.98,1212200
ABT,2.44,4269800
ABWPRA,,
AC,6.88,209600
ACA,,
ACF,,1437700
ACG,9.91,425400
ACI,1.25,324900
ACO,2.00,16100
ACP,,5400
ACPPR,,
ACR,,400
ACS,,2375400
ACV,0.87,179100
ACVA,,
AD,,165400
ADC,9.66,16200
ADF,10.81,31700
ADI,,2745000
ADM,2.08,1443500
ADP,1.50,1903000
ADS,,289100
ADX,1.90,66600
AEC,11.30,21700
AECPRA,,
AEE,6.34,391200
AEEPRE,,
AEF,7.93,24900
AEP,9.82,1762700
AEPPRA,,
AES,,2536700
AESPRC,,
AET,0.08,1940000
AF,3.32,538400
AFB,6.97,20300
AFC,1.78,894000
AFG,2.40,107900
AFGPRT,,
AFK,6.55,22400
AFL,0.82,2711500
AG,,902900
AGCPRA,,
AGCPRB,,
AGE,2.25,544900
AGI,,1168500
AGL,2.35,5700
AGM,,19700
AGN,0.51,1745900
AGP,,97300
AGRA,,
AGRB,,
AGY,,1055400
AH,,59100
AHC,2.72,732900
AHG,,394900
AHR,12.30,178800
AHS,,288700
AIG,0.35,5603500
AIN,0.98,105100
AIQ,,92500
AIR,2.50,22100
AIT,2.66,11300
AIV,8.87,523200
AIVPRC,,
AIVPRD,,
AIVPRG,,
AIVPRH,,
AIVPRP,,
AIVPRQ,,
AIVPRR,,
AIZ,,
AJB,7.19,2400
AJC,7.29,1000
AJG,2.74,316200
AKB,7.05,180900
AKP,6.67,4600
AKR,6.96,104200
AKS,6.48,345400
ALB,2.28,60600
ALD,10.86,859400
ALE,5.27,181100
ALEPR,,
ALG,2.10,1400
ALK,,249000
ALL,2.56,2958800
ALM,5.45,1000
ALN,,63900
ALNPRD,,
ALO,1.01,481100
ALPPRN,,
ALPPRO,,
ALX,,400
AM,2.88,548200
AMB,6.04,441300
AMBPRA,,
AMD,,10310600
AME,0.67,102200
AMF,10.87,36600
AMG,,338800
AMGPRI,,
AMH,1.61,283400
AML,8.82,14900
AMN,2.58,12800
AMO,9.76,5100
AMR,,47735600
AMT,,1212300
AMU,7.70,7500
AMZ,,28300
AN,,1258800
ANF,,1249000
ANJPR,,
ANL,6.41,9200
ANN,,830100
