"Ticker symbol","div_yield","volume","notes"
"TIN",548.56,4150315,"Wrong div yield"
"MO",367.96,41013104,"Wrong div yield"
"FNM",227.27,42837280,
"SNV",212.77,6338284,
"FRE",153.06,17308094,
"INSP",136.99,437995,"No regular div listed"
"AIG",56.94,93418440,
"PDLI",48.85,3369833,
"DISH",44.99,7009851,"No regular div listed"
"WB",41.59,67990520,
"HIG",38.06,28860628,
"LNC",32.74,14467823,
"AHC",26.94,190879,
"GCI",26.27,5262815,
"C",23.78,1028692864,
"BAC",22.76,229757424,
"KEY",18.86,22961242,
"LPX",17.96,1418154,
"MER",17.59,78978200,
"GM",17.36,29713632,
"NYT",16.08,2490412,
"CMA",15.64,6620750,
"FITB",15.3,18004696,
"NCC",15.09,55235744,
"WWE",14.18,471791,
"LIZ",13.58,5875185,
"HBAN",12.68,11334814,
"STI",12.35,20614272,
"MAS",12.17,9556681,
"DLX",12.02,875287,
"WEN",11.07,4200633,
"MGG",10.92,772794,
"CTB",10.61,876463,
"FCX",10.31,26412486,
"DOW",10.11,23957432,
"AA",9.93,48356200,
"GE",9.66,172478736,
"IP",9.65,8105668,
"PCH",9.65,1813238,
"KBH",9.38,8958746,
"PBY",9.32,572279,
"MXIM",8.99,3188977,
"ALL",8.9,10487438,
"PFE",8.86,93973592,
"AEE",8.56,2272737,
"NUE",8.5,10510102,
"LTD",8.42,9593683,
"MBI",8.35,9015660,
"BP",8.35,9752615,
"NWL",8.33,3778183,
"WY",8.29,3321074,
"LEG",8.17,3572088,
"CEG",8.08,5154512,
"BBT",8.07,12823845,
"VOD",8.04,6039031,
"CCL",7.99,11492138,
"PNW",7.79,1299405,
"PCAR",7.78,7359071,
"TXT",7.7,7043664,
"WOR",7.7,1392974,
"ASH",7.7,2827553,
"USB",7.69,38001100,
"BGG",7.65,1477890,
"SVU",7.57,4838110,
"DD",7.47,24181524,
"JWN",7.32,14505839,
"EK",7.31,9527095,
"VZ",7.25,32820140,
"PHG",6.9,1959730,
"CR",6.71,943565,
"OKE",6.59,1249984,
"MAT",6.57,6130155,
"EMN",6.56,2174252,
"AVY",6.55,3010049,
"T",6.53,57857820,
"BKS",6.53,1656743,
"JPM",6.5,194090480,
"PBI",6.46,2895735,
"MRK",6.45,24349652,
"CINF",6.43,2018125,
"BMY",6.43,23751452,
"MDP",6.41,1086632,
"KEI",6.41,134371,
"MOT",6.35,49273276,
"NOK",6.32,22733822,
"CCU",6.31,32061,
"DTE",6.31,1701066,
"TKR",6.3,1550725,
"LLY",6.29,9947560,
"ED",6.24,4385437,
"DUK",6.15,24854228,
"BSY",6.09,133072,
"IR",5.96,7309399,
"COF",5.95,13937102,
"MHP",5.91,5465237,
"AEP",5.89,6831009,
"ISIL",5.85,2441902,
"PNC",5.83,12001316,
"VFC",5.81,1318009,
"WFC",5.77,139655072,
"UVV",5.7,496228,
"DDS",5.65,1770891,
"PPG",5.65,3394992,
"DRI",5.61,2962641,
"WHR",5.56,4448370,
"JCP",5.56,7891784,
"TUP",5.53,1224282,
"AM",5.51,454732,
"FO",5.48,2033161,
"CAG",5.46,5972808,
"JBL",5.34,3493423,
"X",5.25,15094439,
"GAS",5.2,920161,
"ETN",5.16,3964614,
"PAYX",5.13,7778165,
"SLE",5.12,9398669,
"BDK",5.06,1153553,
"ANF",4.95,5717274,
"ROK",4.94,2446871,
"SWK",4.93,1373989,
"SO",4.92,10885434,
"MRO",4.9,11933881,
"HD",4.86,38364008,
"UN",4.85,3410296,
"PEG",4.83,7949140,
"CAT",4.75,16836160,
"ATI",4.72,3363696,
"HON",4.65,8719071,
"MOLX",4.59,2028373,
"LLTC",4.53,11878256,
"MET",4.49,18612748,
"ADI",4.49,9731592,
"INTC",4.48,104125728,
"PCG",4.47,5337973,
"PPL",4.42,6223185,
"AVP",4.35,10501978,
"BA",4.31,13259691,
"FE",4.29,5130788,
"GPC",4.28,2492250,
"CBE",4.21,2639716,
"KMB",4.2,5242230,
"SNA",4.19,827355,
"AXP",4.18,32512948,
"HNZ",4.18,6264843,
"INFY",4.15,4709621,
"TYC",4.15,11654516,
"SUN",4.14,7653442,
"CTL",4.13,4138579,
"D",4.12,7098933,
"EIX",4.12,4837988,
"EMR",4.1,9960820,
"CMS",4.09,5875803,
"APD",4.08,4180474,
"FPL",4.06,6622127,
"SYY",4.06,9014439,
"CHL",4.02,4576400,
"JNJ",3.99,30802276,
"ITW",3.96,7541528,
"KLAC",3.95,7018036,
"AVA",3.94,718571,
"BK",3.94,18598408,
"CVX",3.93,34760876,
"BMS",3.93,1696439,
"MTG",3.91,3308209,
"ETR",3.9,4105784,
"TROW",3.82,8454927,
"IFF",3.78,1569226,
"MMC",3.76,9354350,
"PBG",3.76,4512090,
"XLNX",3.7,11671728,
"MAY",3.69,13967,
"JCI",3.68,8601491,
"DE",3.68,9069447,
"HRB",3.67,4386776,
"HSY",3.67,2107842,
"UPS",3.66,10214019,
"UST",3.66,3969422,
"SEE",3.65,2414875,
"WMI",3.62,7714289,
"ADP",3.61,6473148,
"KO",3.6,25053108,
"VMC",3.58,3115424,
"TIF",3.58,4479093,
"TWX",3.56,54516932,
"DOV",3.55,2971900,
"MMM",3.52,14803687,
"GPS",3.52,25112960,
"DIA",3.49,91699576,
"CCE",3.49,5937639,
"WMB",3.46,13451734,
"NOC",3.42,4946158,
"SRE",3.41,3385294,
"GR",3.39,1940603,
"HAS",3.37,3238418,
"RDC",3.31,6822651,
"STT",3.28,8064620,
"NTRS",3.25,4200421,
"R",3.23,1045208,
"GES",3.2,2954615,
"PEP",3.18,17891292,
"XRX",3.17,16084961,
"AFL",3.16,7354370,
"UNM",3.16,8727243,
"K",3.12,5140397,
"UTX",3.11,15812599,
"RSH",3.08,5720553,
"YUM",3.06,9687204,
"BBY",3.04,13314298,
"CB",3.03,9106890,
"CLX",3,3400903,
"PX",2.98,5253351,
"AMAT",2.95,30346604,
"TXN",2.92,23327880,
"PH",2.89,1718944,
"NSC",2.82,5697799,
"OXY",2.8,15324777,
"ABT",2.79,17752104,
"SHW",2.79,3099063,
"COKE",2.76,22998,
"GD",2.75,4750067,
"OMC",2.7,4986704,
"KMG",2.69,0,
"GIS",2.68,6371163,
"HAL",2.67,25413264,
"IBM",2.65,19804616,
"BCE",2.64,2068698,
"MSFT",2.62,157245552,
"MAR",2.61,5300115,
"PG",2.61,34196152,
"CL",2.58,6589201,
"GWW",2.57,1417311,
"CPB",2.57,5342186,
"BR",2.57,1224561,
"GLW",2.56,27123450,
"LMT",2.47,4106326,
"NSM",2.47,6653775,
"BC",2.44,1751968,
"RTN",2.41,5921553,
"ADM",2.37,12228295,
"SPLS",2.33,13889521,
"PLL",2.31,1336271,
"TJX",2.27,9842321,
"XOM",2.26,84559856,
"ROH",2.25,12321008,
"CSX",2.2,13344250,
"MDT",2.16,19285684,
"PHM",2.14,11913570,
"TGT",2.14,22220032,
"MCD",2.13,20693646,
"NKE",2.11,6410469,
"BHI",2.08,10333040,
"QCOM",2.05,36280576,
"CTX",2.04,10555160,
"SLB",2.03,23664496,
"TMK",1.99,2158508,
"CMCSK",1.99,14189712,
"BBH",1.98,250535,
"LOW",1.96,21781420,
"SGP",1.93,22551336,
"KSWS",1.93,279658,
"ITT",1.93,2032438,
"BDX",1.89,3194414,
"BNI",1.89,8599405,
"UNP",1.89,13235658,
"DIS",1.87,28136928,
"WMT",1.84,40260920,
"CAH",1.83,4173777,
"PKI",1.83,1396647,
"S",1.82,64589684,
"WAG",1.82,12862852,
"BAX",1.8,9168594,
"DNB",1.79,689135,
"NEM",1.74,19539672,
"COST",1.71,10862833,
"ABX",1.7,34437804,
"SWY",1.7,8119739,
"ECL",1.69,5704552,
